group	colour	yend	showSelected1
1	#FC8D62	-0.60079625594046	validation
2	#66C2A5	-0.60079625594046	sous-entraînement
3	#FC8D62	-0.60079625594046	validation
4	#FC8D62	-0.60079625594046	validation
5	#66C2A5	-0.60079625594046	sous-entraînement
6	#66C2A5	-0.708500649154134	sous-entraînement
7	#66C2A5	-0.577710905499484	sous-entraînement
8	#66C2A5	-0.552621340229411	sous-entraînement
9	#66C2A5	-0.568875675576983	sous-entraînement
10	#66C2A5	-0.656992649457968	sous-entraînement
11	#FC8D62	-0.656992649457968	validation
12	#66C2A5	0.222627647863225	sous-entraînement
13	#FC8D62	0.222627647863225	validation
14	#66C2A5	-0.0378266644956682	sous-entraînement
15	#66C2A5	0.296136416036393	sous-entraînement
16	#FC8D62	0.296136416036393	validation
17	#FC8D62	0.296136416036393	validation
18	#FC8D62	0.265765443731891	validation
19	#66C2A5	0.265765443731891	sous-entraînement
20	#FC8D62	0.265765443731891	validation
21	#66C2A5	-0.750572928793083	sous-entraînement
22	#66C2A5	-0.750572928793083	sous-entraînement
23	#FC8D62	-0.750572928793083	validation
24	#FC8D62	-0.773646037620576	validation
25	#66C2A5	-0.773646037620576	sous-entraînement
26	#66C2A5	-0.846224824721764	sous-entraînement
27	#66C2A5	-0.846224824721764	sous-entraînement
28	#66C2A5	-0.982703850799975	sous-entraînement
29	#FC8D62	-0.982703850799975	validation
30	#FC8D62	1.7311487572907	validation
31	#66C2A5	1.7311487572907	sous-entraînement
32	#66C2A5	1.58500202940349	sous-entraînement
33	#FC8D62	1.58500202940349	validation
34	#FC8D62	1.45757484645493	validation
35	#66C2A5	1.45757484645493	sous-entraînement
36	#FC8D62	1.45757484645493	validation
37	#66C2A5	1.55585180676676	sous-entraînement
38	#FC8D62	1.55585180676676	validation
39	#FC8D62	1.55585180676676	validation
40	#FC8D62	0.30417160380171	validation
41	#FC8D62	0.30417160380171	validation
42	#66C2A5	0.30417160380171	sous-entraînement
43	#FC8D62	0.30417160380171	validation
44	#FC8D62	0.260632202360409	validation
45	#66C2A5	0.260632202360409	sous-entraînement
46	#FC8D62	0.260632202360409	validation
47	#FC8D62	0.406361064266902	validation
48	#66C2A5	0.406361064266902	sous-entraînement
49	#66C2A5	0.318273150600338	sous-entraînement
50	#FC8D62	0.318273150600338	validation
