x	xend	y	key	group
1	1	-0.689099191816566	1	1
2	2	-0.608089478320124	2	2
3	3	-0.710016671983337	3	3
4	4	-0.466925730528553	4	4
5	5	-0.593503033560796	5	5
6	6	-0.708500649154134	6	6
7	7	-0.577710905499484	7	7
8	8	-0.552621340229411	8	8
9	9	-0.568875675576983	9	9
10	10	-0.656992649457968	10	10
11	11	0.334821441067167	11	11
12	12	0.222627647863225	12	12
13	13	0.121519266167902	13	13
14	14	-0.0378266644956678	14	14
15	15	0.296136416036393	15	15
16	16	0.179149963320559	16	16
17	17	0.182024297912188	17	17
18	18	0.278026945290612	18	18
19	19	0.265765443731891	19	19
20	20	0.243033456343833	20	20
21	21	-0.743730875249225	21	21
22	22	-0.757414982336941	22	22
23	23	-0.828172114073528	23	23
24	24	-1.03456378199638	24	24
25	25	-0.773646037620576	25	25
26	26	-0.841241486362947	26	26
27	27	-0.85120816308058	27	27
28	28	-0.982703850799975	28	28
29	29	-0.883443617920909	29	29
30	30	-0.793834456390077	30	30
31	31	1.7311487572907	31	31
32	32	1.58500202940349	32	32
33	33	1.63404796329373	33	33
34	34	1.5899002980795	34	34
35	35	1.45757484645493	35	35
36	36	1.55378134580782	36	36
37	37	1.55585180676676	37	37
38	38	1.58934946246667	38	38
39	39	1.70528333933618	39	39
40	40	1.67159837698355	40	40
41	41	0.313055412190002	41	41
42	42	0.30417160380171	42	42
43	43	0.399204109355834	43	43
44	44	0.385174091682726	44	44
45	45	0.260632202360409	45	45
46	46	0.258758256119149	46	46
47	47	0.365965968029044	47	47
48	48	0.406361064266902	48	48
49	49	0.318273150600338	49	49
50	50	0.417618544460782	50	50
