group	fill	y	showSelected3
1	transparent	1.18319011833668	autre
2	transparent	0.820189779937226	autre
3	transparent	0.571123680127027	autre
4	transparent	0.37594349745002	autre
5	transparent	-0.803697418923809	autre
6	transparent	-0.86195965150962	autre
7	transparent	-0.917815053851167	autre
8	transparent	-1.00202823950448	autre
9	transparent	-1.0639158864487	autre
10	transparent	-1.11802077212463	autre
11	transparent	-1.21025045987353	autre
12	transparent	-1.33273324502519	autre
13	transparent	-1.42498951009508	autre
14	transparent	-1.5304667136813	autre
15	transparent	-1.66776535379582	autre
16	transparent	-1.83062293144261	autre
17	transparent	-2.01884729043617	autre
18	transparent	-2.21530294212142	autre
19	transparent	-2.56006278142702	autre
20	transparent	-2.96130754582722	autre
21	transparent	-3.31793635426	autre
22	transparent	-3.53896012207365	autre
23	transparent	-3.80412019958308	autre
24	transparent	-4.19814761256123	autre
25	#000000	-7.23079567450539	minimum
26	transparent	1.37641827220679	autre
27	#000000	1.1386353150904	minimum
28	transparent	1.27011544039083	autre
29	transparent	1.24487566705966	autre
30	transparent	1.21536673195072	autre
31	transparent	1.21505270059981	autre
32	transparent	1.21614505665706	autre
33	transparent	1.21614505665706	autre
34	transparent	1.21595506039942	autre
35	transparent	1.21586156776569	autre
36	transparent	1.216177802462	autre
37	transparent	1.2163143843628	autre
38	transparent	1.21598483551257	autre
39	transparent	1.21613602289202	autre
40	transparent	1.21654606064884	autre
41	transparent	1.229253667644	autre
42	transparent	1.22939863145374	autre
43	transparent	1.22934084620966	autre
44	transparent	1.23444310470154	autre
45	transparent	1.23397249003238	autre
46	transparent	1.23397560527335	autre
47	transparent	1.23400237337469	autre
48	transparent	1.23396440609616	autre
49	transparent	1.23396440609616	autre
50	transparent	1.23393847332921	autre
